1541178970,1.13806,1.13805,1.13806,0
1541179030,1.13816,1.13816,1.13816,0
1541179090,1.13823,1.13822,1.13823,0
1541179150,1.13827,1.13827,1.13828,0
1541179210,1.13828,1.13828,1.13828,0
1541179270,1.13838,1.13838,1.13838,0
1541179330,1.13832,1.13832,1.13832,0
1541179390,1.13836,1.13836,1.13836,0
1541179450,1.13827,1.13827,1.13827,0
1541179510,1.13832,1.13832,1.13832,0
1541179570,1.13822,1.13822,1.13822,0
1541179630,1.13816,1.13816,1.13816,0
1541179690,1.13816,1.13816,1.13817,0
1541179750,1.13817,1.13817,1.13817,0
1541179810,1.13822,1.13822,1.13822,0
1541179870,1.13807,1.13806,1.13807,0
1541179930,1.13802,1.13802,1.13802,0
1541179990,1.13804,1.13804,1.13804,0
1541180050,1.13791,1.13791,1.13791,0
1541180110,1.13792,1.13792,1.13792,0
1541180170,1.13782,1.13782,1.13782,0
1541180230,1.13798,1.13798,1.13798,0
1541180290,1.13807,1.13807,1.13807,0
1541180350,1.13813,1.13813,1.13813,0
1541180410,1.13822,1.13822,1.13822,0
1541180470,1.13828,1.13828,1.13829,0
1541180530,1.13833,1.13833,1.13833,0
1541180590,1.13827,1.13827,1.13827,0
1541180650,1.13827,1.13826,1.13828,0
1541180710,1.13831,1.13831,1.13832,0
1541180770,1.13831,1.13831,1.13831,0
1541180833,1.13837,1.13837,1.13837,0
1541180890,1.13827,1.13826,1.13827,0
1541180950,1.13821,1.13821,1.13822,0
1541181010,1.1383,1.13829,1.1383,0
1541181070,1.1383,1.1383,1.13831,0
1541181130,1.1385,1.1385,1.1385,0
1541181190,1.13837,1.13837,1.13838,0
1541181250,1.13833,1.13832,1.13833,0
1541181310,1.13844,1.13844,1.13844,0
1541181370,1.13857,1.13856,1.13857,0
1541181430,1.13852,1.13852,1.13852,0
1541181490,1.13842,1.13842,1.13842,0
1541181550,1.13836,1.13835,1.13836,0
1541181610,1.13821,1.13821,1.13822,0
1541181670,1.13837,1.13837,1.13838,0
1541181730,1.13827,1.13827,1.13827,0
1541181790,1.13847,1.13846,1.13847,0
1541181850,1.1385,1.13849,1.13851,0
1541181910,1.13842,1.13842,1.13842,0
1541181970,1.13848,1.13848,1.13849,0
1541182030,1.13865,1.13865,1.13865,0
1541182090,1.13857,1.13857,1.13857,0
1541182150,1.13857,1.13857,1.13857,0
1541182211,1.13847,1.13846,1.13847,0
1541182270,1.13831,1.13831,1.13832,0
1541182330,1.13837,1.13837,1.13837,0
1541182390,1.13831,1.13831,1.13832,0
1541182451,1.13837,1.13836,1.13837,0
1541182510,1.13841,1.1384,1.13842,0
1541182570,1.13851,1.13851,1.13852,0
1541182630,1.13852,1.13852,1.13852,0
1541182690,1.13841,1.13841,1.13842,0
1541182750,1.13848,1.13848,1.13848,0
1541182810,1.1385,1.1385,1.1385,0
1541182870,1.13856,1.13855,1.13857,0
1541182930,1.13853,1.13853,1.13853,0
1541182990,1.13837,1.13837,1.13837,0
1541183050,1.1385,1.1385,1.13851,0
1541183110,1.13846,1.13846,1.13846,0
1541183170,1.13851,1.13851,1.13851,0
1541183230,1.13851,1.13851,1.13851,0
1541183290,1.13853,1.13852,1.13853,0
1541183350,1.13875,1.13875,1.13875,0
1541183410,1.13876,1.13876,1.13876,0
1541183470,1.13857,1.13856,1.13857,0
1541183530,1.13847,1.13846,1.13847,0
